despídelos: despídelos
descifremos: descifremos
descifraste: descifraste
descifrarte: descifrarte
descifrará: расшифрует
descerebradas: descerebradas
descendia: текущий
descascarar: descascarar
descascador: descascador
descartemos: отказались мы
descartarla: сбросить
descartarías: descartarías
descarriadas: в заблуждение
descargaste: загрузили
descargaría: descargaría
descaradas: откровенной
descansito: descansito
descansaren: descansaren
descansáis: вы отдыхаете
descalificarlo: являются
descabelló: descabelló
desbrozaría: desbrozaría
desbrozar: desbrozar
desbrozando: desbrozando
desbrozado: desbrozado
desbroza: desbroza
desborde: переполнен
desbordaremos: desbordaremos
desbordar: переполнить
desbordaba: разливался
desbocadas: rampaging
desbarataste: desbarataste
desbaratan: desbaratan
desayunen: desayunen
desayunará: после завтрака у
desatomizador: desatomizador
desátate: desátate
desatascarlo: desatascarlo
desastrozo: desastrozo
desaseados: desaseados
desas: desas
desarticulado: desarticulado
desarrollarla: развивать
desarrollaran: разработать
desarrollara: разработать
desarrollándose: развиваться
desarrolladores: разработчики
desarrolar: desarrolar
desarreglada: неопрятных
desarmes: desarmes
desarmarlos: desarmarlos
desarmadero: desarmadero
desarmaba: desarmaba
desaproveches: упустите
desaprovechaste: desaprovechaste
desaprovechamos: desaprovechamos
desaprovechado: неиспользованный
desaprobar: одобряю
desaprobación: неодобрение
desaprobaba: осудили
desaparecldos: desaparecldos
desaparecieran: исчезли
desaparecerla: desaparecerla
desapareceidos: desapareceidos
desantificación: desantificación
desanimo: впадаю в уныние
desanimen: разочаровываться
desanimarse: уныние
desanimarnos: разочароваться в себе
desangres: desangres
desangremos: desangremos
desangrándome: desangrándome
desangrados: desangrados
desangradas: desangradas
desamparaste: desamparaste
desamarrar: desamarrar
desamarra: desamarra
desalojarlos: desalojarlos
desalojaré: desalojaré
desalineamiento: смещение
desalineados: криво
desalineada: криво
desaliñada: грязный
desaliento: уныние
desalentarte: desalentarte
desalentar: смутила
desalentado: обескураженный
desajustadas: desajustadas
desahóguese: desahóguese
desahogarnos: desahogarnos
desagraviar: desagraviar
desagradablemente: неприятно
deságanse: deságanse
desafios: вызовы
desafina: desafina
desafiaste: desafiaste
desafiándonos: desafiándonos
desactívelo: отключите его
desactivan: отключены
desactívala: снимите этот флажок
desacerte: desacerte
desacelerado: замедлился
desabroché: desabroché
desabrocharse: расстегивать
dés: dés
derrumbemos: derrumbemos
derrumbé: derrumbé
derrumbaria: derrumbaria
derrumban: исчезла
derrumbaba: derrumbaba
derruidos: рушиться
derrotarles: нанести ответный удар
derrotarlas: ударить их
derrochó: растратил
derrocho: derrocho
derrocharia: derrocharia
derrochamos: пустили пыль в глаза
derrocha: попусту
derrocamos: derrocamos
derrocada: низложена
derrocad: derrocad
derritiera: расплавил
derribenlo: derribenlo
derríbelo: derríbelo
derribarte: сбить тебя
derribarnos: derribarnos
derríbala: derríbala
derretirlos: derretirlos
derretidor: derretidor
derramarlo: derramarlo
derramaremos: мы прольем
derramarás: изольешь
derramaba: он изливал
derkie: derkie
derivando: выводящ
derepente: derepente
derechistas: правые
depurando: отладка
depurador: отладчик
depuración: отладки
depuestos: низложены
deprimiéndote: deprimiéndote
depriman: depriman
depresion: депрессия
depravadas: развратные
depositemos: давайте
depositas: вы внесли депозит
depositarlo: складывать
depositarlas: файлов
depositadas: сдала
depor: спор
depone: свержение
dependieras: dependieras
dependas: стоит полагаться
depaul: депол
deparado: году.
denuncies: denuncies
denunciamos: осуждаем
denúnciame: denúnciame
dentudo: dentudo
dentón: dentón
dentente: dentente
dentende: dentende
dentaduras: верхней и нижней челюсти
dénselas: dénselas
dénmelos: dénmelos
denkins: denkins
deniegue: отказано
denie: denie
denial: denial
denegará: отказать
dén: dén
demuéstrenlo: demuéstrenlo
dempseys: dempseys
demostrémosle: demostrémosle
demostrartelo: demostrartelo
demostrarnos: показав
demostrármelo: demostrármelo
demostraran: продемонстрировать
demostrara: доказано
demorarán: задерживают
demonizarlos: demonizarlos
demonizamos: demonizamos
demonizados: demonizados
demonium: demonium
demónios: demónios
demonicemos: demonicemos
demoniaco: бесовские силы
demolería: demolería
demoleremos: demoleremos
demográficos: демографические
demodulador: демодулятор
democratización: демократизации
democratica: демократическая
demiro: demiro
demérito: недостаток
démelos: démelos
demasuna: demasuna
demásiado: однако
demasía: перегиба
demãs: demãs
demandáramos: demandáramos
demandaban: они требовали
demagogo: демагогом
delporche: delporche
delphi: delphi
delongas: delongas
délo: дайте его
dellanova: dellanova
deljefe: deljefe
delires: delires
deliran: deliran
deliramos: deliramos
delirabas: delirabas
delinquiendo: delinquiendo
delimitando: разделяя
delicatessen: продуктовый магазин
delicadezas: деликатности
delgato: delgato
delgaducho: худенький
deletreo: написание
deletrees: deletrees
deletrean: говорит по буквам
delena: delena
delen: delen
deleites: наслаждений
deléitense: deléitense
deleiten: духовным пиром
deléiteme: deléiteme
deleitarme: deleitarme
deleitan: радовать
delegas: delegas
delectado: delectado
delatores: информеры
delatarse: delatarse
delany: delany
delano: Делано
delanceys: delanceys
delair: delair
deladier: deladier
dek: dek
dejô: dejô
dejenmelo: dejenmelo
dejémoslas: dejémoslas
déjemos: déjemos
dejelas: dejelas
dejeff: dejeff
dejebel: dejebel
dejavu: dejavu
déjaselos: déjaselos
dejaselo: dejaselo
dejártela: dejártela
dejárselos: dejárselos
dejarselo: dejarselo
dejarais: dejarais
dejanoslo: dejanoslo
dejandose: dejandose
dejándolas: оставив их в
dejake: dejake
dejadlos: пусть
dejacqueline: dejacqueline
dejabais: это было по воле Бога
dej: dej
deixei: deixei
deixame: deixame
deitrich: deitrich
deiito: deiito
deigadas: deigadas
deie: deie
deidre: дейдр
dehli: Дели
degusten: degusten
degustador: дегустатор
degustado: смогли попробовать различные
degusta: попробуйте
degradan: унижают
degradada: в целом
degollarme: degollarme
degolladores: degolladores
degeneró: выродилась
degenerar: вырождаться
degeneradas: дегенеративно
degas: Дега
defuncion: смерть
defraudarme: defraudarme
defraudarlos: оправдать их надежды
defraudarlo: defraudarlo
deformas: deformas
deflectados: deflectados
definieron: определены
defiéndelo: defiéndelo
defiéndele: defiéndele
defibrilación: defibrilación
defequé: defequé
defendieran: защитить
defendiéndola: defendiéndola
defendidas: защищенных
defendible: оправданный
defendías: defendías
defenderían: защищать
defendamos: защитим
defecación: дефекации
deeso: deeso
deerfield: deerfield
deere: deere
deena: deena
deems: deems
deem: deem
deek: deek
dedujimos: dedujimos
deduciremos: мы вычтем
dedlcado: dedlcado
dedíquense: dedíquense
deðilsin: deðilsin
deðilim: deðilim
deðil: deðil
dedicarla: используемых
dedicaría: освятить
dedicarás: ты должен посвятить
dedicará: посвящена
dedicándole: процитировала
dédalo: лабиринты
decúbito: лежа
decrte: decrte
decrlo: decrlo
decrepito: decrepito
decorativas: декоративные
decorarla: украсить
decoraremos: decoraremos
deconstruir: разборка
decomisados: конфискованное
decomisado: конфискованное имущество
decomisada: конфискованное
declinó: отказался
declinaste: declinaste
declárate: declárate
declarase: признать
declarártele: declarártele
declarársela: declarársela
declararás: возвещай
declararan: показаний
decláralo: decláralo
decirtu: decirtu
decirtela: decirtela
decírsela: decírsela
decirseio: decirseio
decírmela: decírmela
decirlos: сказать
decirl: decirl
decimotercera: тринадцатой
decimoquinto: пятнадцатый
decimoprimer: decimoprimer
decidselo: decidselo
decidirían: решит
decidiran: decidiran
decidieses: decidieses
decidid: решите
decidì: decidì
decepcionarán: разочарованы
decepcionadas: разочарованным
decapitaría: decapitaría
decapita: обезглавливает
decaerá: угаснет
decaecimiento: decaecimiento
debutar: дебютировать
debras: debras
débocha: débocha
debilucha: debilucha
debilly: debilly
debilitará: ослабит
debilitamiento: ослабление
debiéndome: debiéndome
deberme: deberme
deberíasir: deberíasir
deberíasdebes: deberíasdebes
deberìa: вы
debdo: debdo
debatirá: обсуждать
debat: debat
deau: deau
deanne: deanne
deán: декан
deambuló: странствовал
dealtor: dealtor
deagol: deagol
ddónde: ddónde
ddigo: ddigo
dco: dco
dcfs: dcfs
dces: dces
dcen: dcen
dbcooper: dbcooper
dayedaye: dayedaye
dayana: Дайана
dawsons: dawsons
dawning: dawning
dawne: dawne
dawkins: Докинз
dawa: дава
davranýyor: davranýyor
davidny: davidny
davíd: davíd
davenwood: davenwood
davd: davd
datura: дурман
datiles: datiles
dasela: dasela
darvocet: darvocet
dartagnan: дартаньян
darselas: darselas
darsela: darsela
darrieux: darrieux
darol: darol
darlington: Дарлингтон
darlin: Дарлин
darkside: darkside
darin: Дарина
darias: darias
dares: Вьетнам
darel: darel
darake: darake
dao: dao
danville: danville
dans: данс
danone: danone
danno: danno
dannaker: dannaker
danilovna: danilovna
daneeka: daneeka
dándomela: dándomela
dandome: подарил
dándolo: отдавая их
dandolo: Дандоло
dandoles: давая
dandies: dandies
dandarx: dandarx
dancin: dancin
danchelotte: danchelotte
dancers: dancers
dañaras: dañaras
dañaran: повреждены
damelas: damelas
damasi: damasi
dálmatas: далматинец
dalma: Далма
dally: dally
dalesio: dalesio
daledaledale: daledaledale
dalby: dalby
dakika: dakika
dajatlha: dajatlha
dajame: dajame
dáis: дайте
dailey: Дэйли
daikirí: daikirí
daikiri: Дайкири
daies: daies
dahao: dahao
daha: Даха
daggers: daggers
dafina: dafina
daðýtýn: daðýtýn
dacelo: dacelo
dace: dace
dabyelle: dabyelle
czibor: czibor
czarina: особое
cyr: сир
cyprus: Кипр
cylla: cylla
cyclonus: cyclonus
cyberarts: cyberarts
cyane: cyane
cvs: cvs
cuzomano: cuzomano
cuzco: Куско
cuvet: cuvet
cutlass: cutlass
cuthbert: Катберт
custodiadas: рядом стояли
custa: custa
cuscús: кускус
cusamano: cusamano
cusak: cusak
curvadas: изогнутые
curtirá: curtirá
cursor: курсор
cursis: вульгарной
cursillo: курс
cursaron: учились
cursando: учится
curries: карри
curriculares: учебные
currando: работает над
curioseaba: том,
curdistan: curdistan
curda: курдского
curb: curb
curare: curare
curaran: потом вылечил
curanderos: знахари
curalocos: curalocos
curadores: кураторы
curadoras: curadoras
curadas: вылечил
cúpulas: купола
cuo: ССА
cunto: сколько
cuño: ЧГП
cuneo: Кунео
cundir: особым способом
cuncubina: cuncubina
cunas: детские кроватки
cumplimientos: исполнения
cumplidores: последователи
cumpleaos: день рождения
cúmplanlas: cúmplanlas
cumpiiste: cumpiiste
cumpie: cumpie
cumpa: cumpa
cumbrae: cumbrae
culture: culture
cultivó: возделал
cultive: культивируйте
cultivas: выращивании
cultivarlas: вырастить их
cultivaremos: cultivaremos
cult: cult
culpepper: culpepper
culparan: culparan
culminar: закончить
culkin: Калкин
culié: culié
culiá: culiá
culeó: culeó
culeo: culeo
culebrina: culebrina
culearme: culearme
culantro: culantro
cuidemonos: cuidemonos
cuidaros: cuidaros
cuidandonos: cuidandonos
cuidandolo: cuidandolo
cuidándola: cuidándola
cuidadoras: воспитатели
cuestionárselo: cuestionárselo
cuestionarnos: cuestionarnos
cuestionaras: cuestionaras
cuerpecito: тельце
cuepo: cuepo
cuentero: cuentero
cuentenme: cuentenme
cuéntanoslo: потом рассказывай нам
cuencos: чаши
cuelo: cuelo
cuélgate: cuélgate
cuélgalas: cuélgalas
cucuy: cucuy
cuchitrii: cuchitrii
cuchillería: столовые приборы
cuchichea: cuchichea
cubrirlas: покрыть их
cubrire: закрою
cubrio: обложил
cúbrelas: cúbrelas
cúbranos: cúbranos
cubing: cubing
cúbica: кубический
cubbies: cubbies
cubanas: кубинские
cuásares: квазары
cuartilla: запястный
cuarteó: cuarteó
cuântos: cuântos
cuãnto: cuãnto
cuânto: cuânto
cuantiosas: крупные
cuantía: сумма
cualquler: cualquler
cualquera: какого-либо
cuajaron: cuajaron
cuajado: льют
cuaies: cuaies
cuadrúpeda: cuadrúpeda
cuadrigueros: cuadrigueros
cuadriguero: возничего
cuadriceps: четырехглавой
cuadrar: возведения в квадрат
cuadrángulo: четырехугольник
cuadraba: cuadraba
cuadernaje: cuadernaje
ctro: правда
ctrl+i: ctrl+i
csb: csb
cruzemos: cruzemos
cruzarte: cruzarte
cruzarnos: станем же
cruzaríamos: cruzaríamos
cruzándole: cruzándole
crujiendo: скрипя
cruicifijo: cruicifijo
cruento: реки крови
cruciforme: крестообразный
crucifíquenle: crucifíquenle
crucificando: распинает
crucifícale: распни его
crucifica: распинает
crsto: crsto
crres: crres
crowly: crowly
crowleys: crowleys
crouger: crouger
crotan: crotan
cronometraron: cronometraron
cronometrarlo: cronometrarlo
cronometrar: рассчитывая, сколько
cronico: cronico
cromosómica: хромосомная
cromos: Стикеры
cromatografía: хроматография
cromados: хромированные
croket: croket
croce: Кроче
crocantes: crocantes
croar: кваканье
crnl: crnl
crlatura: crlatura
criticándome: criticándome
críticamente: критически
criswell: крисуэлл
cristalinas: кристаллические
cristálica: cristálica
crispín: crispín
crish: crish
crisálidas: куколок
criotubos: criotubos
criostasis: criostasis
criollos: креолы
criollo: креольский
criolla: креольской
criogenia: criogenia
criogenética: criogenética
criminólogo: criminólogo
criminalistica: criminalistica
criba: грохот
criaremos: criaremos
crian: выращивают
criadora: питомнике
creyésemos: creyésemos
cretzky: cretzky
crestos: crestos
crer: crer
crepúsculos: сумерек
crepe: блин
creoq: creoq
creoo: creoo
cremalleras: молнии
cregg: cregg
creg: creg
creermelo: creermelo
creerian: creerian
creeremos: мы поверим
creeps: крипы
creén: creén
créemelo: créemelo
créeis: créeis
creciese: creciese
crecería: вырастет
creaturas: творения
created: created
creasteis: creasteis
crazylegs: crazylegs
crayón: карандаш
crayolas: мелки
craylon: craylon
craquelure: кракелюра
crápula: crápula
craneoencefálico: головы
crail: crail
craigsville: craigsville
craiglist: craiglist
crabs: crabs
cozumel: Косумель
covertura: обложка
couture: couture
couthon: couthon
courts: теннисные корты
couric: couric
courage: кураж
coupés: купе
coulomb: Кулона
couchet: couchet
couche: камеры слоя
coubicados: coubicados
cotter: Коттер
cotorrita: cotorrita
cotiza: котируется
cotilla: cotilla
cotidianos: повседневные
cotejen: cotejen
cotejarse: соотносить друг с другом
costner: Костнер
costarnos: costarnos
costantino: Костантино
costantin: costantin
cosquillean: щекочущие наши барабанные
cosmovisión: мировоззрение
cosmopolitas: космополитов
cosigues: cosigues
cosidas: сшитые
cosey: cosey
cosértelo: cosértelo
cóselo: cóselo
cosechó: собрали
coseche: урожай
cosassi: cosassi
cosamos: cosamos
cortometrajes: короткометражные фильмы
cortman: cortman
cortita: cortita
cortesano: придворный
córtelos: нарежьте их
córtele: córtele
cortejarte: cortejarte
cortejan: сватают
cortejada: ухаживать
cortéis: cortéis
cortaúñas: кусачки для ногтей
cortarían: cortarían
cortaplumas: перочинный нож
cortándose: cortándose
cortándome: cortándome
corroer: разъедать
corroborativo: corroborativo
corroboran: подтверждают
corroborado: подтверждено
corríjanme: поправьте меня
corrijan: исправить
corrigiéndome: corrigiéndome
corriges: исправите
corrie: Корри
corrick: corrick
corretja: corretja
correspondes: correspondes
correrte: correrte
correrse: отодвинуться
correrla: отодвинуть
correran: потекут
correieor: correieor
corregiremos: исправим
corregí: устранения
corregi: corregi
corredizas: раздвижные
correcional: correcional
correccionales: исправительные учреждения
correazos: correazos
corráis: участвуете
corpusculares: corpusculares
corps: corps
coróname: coróname
coronadas: увенчанными
corngold: corngold
cornflakes: cornflakes
corneto: corneto
cornet: Корнет
corner: Корнер
cormack: cormack
cork: Корк
corevelay: corevelay
coreografiar: coreografiar
coreografia: хореографии
cordis: cordis
cordilleras: хребтов
corderoy: corderoy
corderita: овечки
corchos: пробки
corby: Корби
coran: Коран
corabi: corabi
coquetuela: coquetuela
coqueteé: coqueteé
coquetée: coquetée
coquetee: coquetee
coquetearle: coquetearle
coqueteándole: coqueteándole
coqueteado: coqueteado
coqueteabas: coqueteabas
copyleft: лева
copy: copy
copulando: copulando
coptown: coptown
coproductor: со-производитель
coproducida: со-продюсер
copleros: copleros
copitas: отель расположен
copistas: переписчиков
copiaras: copiaras
copiaba: копировал
copetillo: copetillo
copar: скопировать
coordinó: координировал
coordino: я
coordinaron: координировали
coordinará: координировать
coordinacion: координация
coordinaba: координировал
coopers: coopers
cooperemos: cooperemos
coon: Кун
coombs: Кумбс
cónyuges: супруги
convulsivamente: судорожно
convulsionando: convulsionando
convivimos: живем вместе
convirtío: convirtío
conviertiendo: conviertiendo
convidarlos: convidarlos
convertiros: превратиться
convertirle: превратить
convertire: сделаю
converted: converted
conversó: беседовал
convergieron: стекались
convergentes: конвергентные
convénzala: convénzala
conventirse: conventirse
conventillos: многоквартирном
convenir: устроить
convenience: convenience
convencerio: convencerio
convencerías: convencerías
convéncele: convéncele
conv: conv
conus: конус
conundrum: conundrum
contundentemente: в подавляющем большинстве
controversias: споров
controlarles: controlarles
controlándome: controlándome
contrólalos: contrólalos
controiado: controiado
contraventanas: ставнями
contrates: нанимать
contrataran: contrataran
contratame: contratame
contrátalo: contrátalo
contrataciones: найма
contrataba: нанимала
contrastes: контрасты
contrarrevolucionario: контрреволюционера
contrarrevolución: контрреволюции
contrarrestará: contrarrestará
contrariarme: contrariarme
contrapartida: компенсации
contrapartes: коллеги
contraoferta: встречная Оферта
contralare: contralare
contrainterrogatorio: перекрестный допрос
contraídos: взятые
contraída: свернутую
contragolpe: "ответный удар"
contraerán: брать
contradices: сам себе противоречишь
contracorriente: против течения
contrac: заявке
contraatacara: contraatacara
contraatacan: наносят ответный удар
contorsionarte: contorsionarte
contorcionista: contorcionista
contonearse: contonearse
continuase: продолжать
continuarías: continuarías
contigencia: contigencia
contiendas: споры
contextuales: контекстуальные
contextual: контекстная
contestón: contestón
contestase: contestase
contestarnos: contestarnos
contestarles: ответить им
contestarla: ответить
contestare: contestare
contestadota: contestadota
conteos: подсчет
contentísimos: в восторге, думая
contentado: удовлетворился
contengamos: contengamos
contendríamos: contendríamos
contenciòn: contenciòn
contemporizar: умиротворении
contemplo: я смотрю
contárselos: contárselos
contarie: contarie
contante: наличных
contándotelo: contándotelo
contaminen: загрязняет,
contaminas: contaminas
contaminará: загрязнять
contaminara: contaminara
contaminacion: загрязнение
contagios: заразы
contáctenos: свяжитесь с нами
contactaríamos: contactaríamos
contactare: этом случае обратитесь скоро
contabilizado: проводка
consumiste: consumiste
consumirme: consumirme
consumio: пожрал
consumicion: consumicion
consumían: потребляли
consumemos: consumemos
consultemos: советоваться
consultará: консультируется
consultara: проконсультироваться
consultan: советуют
cónsules: консулы
consuitas: consuitas
consuetudinario: обычное
consueles: consueles
consueio: consueio
consueia: consueia
construyéndose: строится
construísteis: construísteis
construíste: construíste
construirme: construirme
construirás: построить
constructos: конструкциями
constructo: сопряженный
constructicons: constructicons
construct: construct
construcciòn: строительство
constara: состояла
consolida: объединяет
consolémonos: consolémonos
consolé: consolé
consolaros: consolaros
consolarle: утешать его
consintiendo: соглашаясь
consiguieran: получать
consiguelas: consiguelas
consigetz: consigetz
consíganlo: consíganlo
consigámosle: consigámosle
consigame: consigame
considerarnos: считать себя
considerarás: considerarás
consideralo: consideralo
considerais: considerais
conservaremos: мы сохраним
conservaras: conservaras
conservarán: сохраняют
conservantes: консерванты
conservadurismo: консерватизм
conservados: сохранены
conservacion: сохранение
consentementde: consentementde
consejito: consejito
consejeras: советницы
consegur: consegur
conseguírselas: conseguírselas
conseguiros: conseguiros
conseguiendo: conseguiendo
conseguid: conseguid
consegu: consegu
consecución: достижение
consanguíneo: consanguíneo
consagrados: закрепленных
consagra: освящен
conquisto: завоевал
conquistarnos: conquistarnos
conquistadoras: conquistadoras
conozcámonos: conozcámonos
conozcáis: знаешь
conon: conon
conocíó: conocíó
conociéndolo: conociéndolo
conóces: conóces
conocerían: знали
conoceran: узнают
conóceme: узнай меня
connell: Коннелл
conmutarle: conmutarle
conmutación: переключения
conmunmente: conmunmente
conmocionadas: conmocionadas
conmigocomo: conmigocomo
conmemorativos: мемориальные
conlaine: conlaine
conjurado: вызывал
conjugar: сочетать
conjeturando: conjeturando
conjabba: conjabba
congresos: конгресс
congratulations: congratulations
congraciador: congraciador
congénitas: врожденные
congeniando: congeniando
congélela: congélela
congelaremos: заморозим
congelarás: congelarás
congelarán: заморожены
congelándonos: congelándonos
congélala: congélala
congeladora: подмораживание
congee: congee
confusiónes: confusiónes
confundirías: confundirías
confundira: confundira
confundimos: мы путаем
confundiendome: confundiendome
confundían: путают
confunddo: confunddo
confundáis: путайте
confudes: confudes
confronte: confronte
confrontas: confrontas
confrontaron: состязались
confrontarlo: конфронтировать
confrontan: сталкиваются
confrontado: столкнулся
confortablemente: удобно
confortáble: confortáble
conformista: конформист
confórmese: исполните
conformaron: $
conformarías: conformarías
conformarán: в состав
confitura: варенье
confiscaría: confiscaría
confiscaremos: confiscaremos
confiscaré: confiscaré
confiscarán: confiscarán
confiscando: конфисковывать
confis: confis
confirmaste: confirmaste
confirmase: подтвердил
confirmaría: подтвердит
confirmaremos: подтвердим
confirmaciones: подтверждений
confirmacion: подтверждение
confirmaba: подтверждает
confín: граница
configuré: я
configurar: настроить
configuraciones: конфигурации
confiésese: confiésese
confiesalo: confiesalo
confiarnos: доверять
confiáis: доверяете
confiadas: возложенные
confetti: конфетти
confesada: confesada
confesad: confesad
confesaba: признавался
confabulando: confabulando
conf: conf
conéctelo: Подключите
conectame: conectame
conectaba: соединял
conduzcáis: conduzcáis
condujimos: мы ведем
conductista: поведенческий
conducidas: проведены
conducian: conducian
conducíamos: conducíamos
condúcela: condúcela
condimentado: приправлено
condicionar: обуславливать
condescendientes: свысока
condensarse: конденсироваться
condenasen: condenasen
condenarlos: осудить
condenarían: condenarían
condenarás: condenarás
condenáis: осуждать этого
condenable: предосудительно
condecoró: condecoró
