the: то
went: пошел
something: что-то
level: уровень
design: дизайн
father: отец
men: мужчины
content: содержание
editor: редактор
considered: считается
six: шесть
least: не менее
event: событие
listed: перечисленные
data: данные
australian: австралийский
users: пользователи
personal: личные
involved: участвует
washington: Вашингтон
southern: Южный
middot: мидот
big: большой
control: контроль
together: вместе
win: выиграть
independent: независимые
popular: популярные
board: доска
really: действительно
produced: произведено
calculated: рассчитали
modern: современные
taken: принято
person: человек
possible: возможно
doesn't: не
professional: профессиональный
done: сделано
human: человека
germany: Германия
less: меньше
space: пространство
seen: видел
changed: изменилось
want: хочу
women: женщины
going: собираюсь
schools: школы
living: жизни
minister: министр
process: процесс
far: далеко
results: результаты
summer: лето
put: положить
via: через
character: характер
away: отсюда
japan: Япония
working: рабочая
ratio: соотношение
peter: Питер
kingdom: королевство
events: события
question: вопрос
real: реальные
light: свет
i've: я
someone: кто-то
richard: Ричард
reported: сообщили
songs: песни
interest: интерес
magazine: журнал
race: гонки
players: игроки
areas: области
post: пост
type: Тип
featured: показан
institute: институт
green: зеленый
married: женат
chart: график
come: приходят
indian: индийский
himself: сам
instead: вместо
actually: на самом деле
canadian: канадский
police: полиция
editors: редакторы
rd: РД
problem: проблема
province: провинция
china: Китай
star: звезда
health: здоровья
look: смотреть
thanks: спасибо
evidence: доказательств
founded: основана
originally: первоначально
centre: центр
probably: наверное
tour: тур
mark: Марк
night: ночь
close: закрыть
upon: по
grand: большой
author: Автор
usually: обычно
henry: Генри
worked: работал
japanese: японский
match: матч
rights: прав
issues: вопросы
forces: сил
wrote: написал
republic: Республика
civil: гражданское
festival: фестиваль
sea: море
body: тело
network: сеть
things: вещи
europe: Европа
recorded: записал
talktalk: коммунальных
consensus: консенсус
style: стиль
itself: сама
sports: спорт
fire: огонь
start: начать
dr: д-р
average: средняя
related: связанных с
gold: золото
texas: Техас
action: действие
census: перепись
mdash: др.
addition: дополнение
today: сегодня
committee: комитет
arts: искусств
blue: синий
appeared: появились
performance: производительности
course: курс
able: может
significant: значительное
eastern: Восточной
teams: команды
whether: ли
returned: вернулся
week: неделю
future: будущее
give: дать
includes: включает в себя
airport: аэропорт
library: библиотека
provide: обеспечить
shows: показывает
means: значит
reference: ссылка
primary: основной
los: Лос
playing: играть
cover: крышка
continued: продолжается
journal: журнал
stage: этап
previous: предыдущие
months: месяцев
technology: технология
model: модель
studies: исследования
edition: издание
standard: стандарт
aircraft: самолет
thus: таким образом
appears: появляется
joined: присоединился
wife: жена
material: материал
word: слово
historical: исторические
almost: почти
training: обучение
reliable: надежный
online: в интернете
across: по
removed: удалены
accessed: доступ
middle: средний
that's: это
username: имя пользователя
academy: академия
hill: холм
described: описано
smith: Смит
search: поиск
culture: культура
read: читать
strong: сильный
construction: строительство
opened: открыт
chief: главный
range: диапазон
groups: группы
christian: христианин
historic: исторический
management: управление
past: последние
study: исследование
add: добавить
return: вернуться
move: двигаться
federal: Федеральный
places: места
developed: развитая
artist: художник
van: Ван
ever: всегда
half: половина
formed: образуется
features: особенности
rule: правило
outside: снаружи
elected: Избранные
jan: января
attack: атака
fair: ярмарка
al: Алабама
mentioned: упомянул
bay: бухта
makes: делает
sir: сэр
private: Частная
systems: систем
request: запрос
nothing: ничего
ireland: Ирландия
despite: несмотря на
bridge: мост
chinese: китайский
template: шаблон
car: автомобиль
chicago: Чикаго
organization: организация
films: фильмы
throughout: по всей
russian: русский
got: получил
bar: бар
usa: США
low: низкая
front: передний
always: всегда
sure: уверен
etc: прочее
actor: актер
yet: еще
valley: долина
conference: конференция
provided: при условии
names: имена
africa: Африка
bill: Билл
especially: особенно
bank: банк
needs: потребности
announced: объявлен
biography: биография
countries: страны
mother: мать
images: изображения
brown: коричневый
size: Размер
coach: тренер
refer: обратитесь
seven: семь
location: расположение
eventually: в конце концов
albums: альбомы
collection: коллекция
individual: индивидуальный
natural: природные
largest: крупнейший
medical: медицинские
writing: пишу
block: блок
believe: верю
killed: убил
can't: не могу
clear: понятно
championships: чемпионат
roman: роман
reading: чтение
sometimes: иногда
thought: думал
vol: том
theatre: театр
generally: вообще
importance: значение
movie: фильм
baseball: бейсбол
mr: мистер
changes: изменения
characters: персонажи
performed: проведенные
movement: движение
coast: побережье
sold: продается
guitar: гитара
spanish: испанский
capital: капитал
singles: синглы
energy: энергии
designed: предназначен
lower: ниже
ten: десять
sun: солнце
complete: полное
anything: ничего
ed: Эд
sound: звук
says: говорит
discussions: обсуждения
base: база
goals: цели
italian: итальянский
particular: особое
perhaps: возможно
competition: конкурс
problems: проблемы
daughter: дочь
paris: Париж
fc: ФК
market: рынок
signed: подписан
soon: скоро
campaign: кампании
martin: Мартин
limited: ограничено
leading: ведущий
brother: брат
cross: крест
medal: медаль
theory: теория
words: слова
idea: идея
additional: дополнительные
gave: дал
create: создать
overlaps: совпадения
appointed: назначен
stadium: стадион
female: женщина
none: никто
professor: профессор
novel: роман
specific: конкретные
active: активный
virginia: Вирджиния
google: гугл
log: журнал
simply: просто
isn't: не
followed: последовало
catholic: католическая
vote: голосование
ground: землю
account: счета
foundation: фонд
industry: промышленность
ship: корабль
directed: направлены
volume: объем
recent: последние
completed: завершен
web: веб
copyright: авторское право
test: тест
square: площадь
zealand: Зеландия
women's: женские
african: Африки
et: по восточному времени
navy: военно-морской флот
famous: знаменитый
joseph: Джозеф
township: городок
leader: лидер
thing: дело
channel: канал
regional: региональный
foreign: иностранных
whose: чьи
status: статус
writer: писатель
hand: руки
el: Эл
florida: Флорида
lot: много
parts: части
debut: дебют
terms: условия
angeles: - Анджелес
placed: разместил
mountain: горы
student: студент
previously: ранее
tournament: турнир
hospital: больница
minor: незначительные
yes: да
lord: господа
appear: появляются
required: требуется
behind: позади
contains: содержит
unit: блок
regular: регулярные
studio: студия
replaced: заменил
islands: острова
reached: добраться
coverage: покрытие
likely: скорее всего
true: верно
money: деньги
food: еда
computer: компьютер
democratic: демократическая
mary: Мэри
taking: принимая
stated: заявил
fourth: четвертый
native: родной
editing: редактирование
quite: вполне
saw: видел
senior: старший
bad: плохо
certain: определенные
edward: Эдвард
buildings: зданий
higher: высшее
highway: шоссе
cases: случаях
longer: больше
italy: Италия
profile: профиль
beginning: начало
conflict: конфликт
': '
nominated: номинирован
hours: часов
hit: нажмите
uses: использует
operations: операции
musical: музыкальные
sent: отправил
economic: экономической
vocals: вокал
hard: жесткий
code: код
access: доступ к
trade: торговля
families: семей
tom: Тома
empire: империя
label: метки
whole: целом
mexico: Мексика
child: ребенок
agree: согласитесь
officer: офицер
brought: принес
multiple: несколько
commercial: коммерческие
parliament: парламент
nomination: номинации
louis: Луи
cast: бросить
security: безопасности
prior: до
structure: структура
lee: ли
municipality: муниципалитет
selected: выбранный
awarded: награжден
shown: показано
units: единицы
pennsylvania: Пенсильвания
software: программное обеспечение
call: звоните
mean: значит
staff: персонал
try: попробовать
prince: принц
jr: младший
nature: природа
cd: компакт-диск
topic: тема
basketball: баскетбол
wales: Уэльс
jack: Джек
le: Ле
saint: Санкт
legal: юридическое
men's: мужчин
decided: решил
success: успех
there's: есть
governor: губернатор
commission: комиссия
decision: решение
successful: успешный
god: Бог
picture: картинка
bbc: Би-би-си
captain: капитан
winner: победитель
running: работает
irish: ирландский
operation: операция
cannot: не может
map: карте
value: значение
mar: марта
matter: вопрос
producer: продюсер
towards: к
degree: степень
companies: компаний
score: оценка
woman: женщина
engineering: технических
artists: художники
allowed: разрешено
care: уход
practice: практика
digital: цифровой
earlier: ранее
anyone: кто-нибудь
eight: восемь
leave: оставить
traditional: традиционные
afd: афд
associated: связанные
remained: остался
politician: политик
entry: запись
lines: линии
background: фон
global: глобальные
key: ключ
seem: кажется
runs: работает
saying: говорю
entire: весь
carolina: Каролина
manager: менеджер
dead: мертвые
therefore: поэтому
rest: остальное
plan: план
finished: закончил
statistics: статистика
particularly: особенно
merge: слить
introduced: представил
mike: Майк
rating: рейтинг
stop: остановка
internet: интернет
greek: греческий
heart: сердце
approximately: примерно
response: ответ
feel: чувствую
fall: осень
singer: певица
soviet: Советский
didn't: не
bit: бит
daily: ежедневно
jersey: Джерси
da: да
mission: миссия
recording: запись
experience: опыт
engine: двигатель
annual: годовой
command: команда
meet: встретиться
description: описание
dance: танец
frank: Фрэнк
religious: религиозные
uploaded: загружен
recently: недавно
castle: замок
needed: нужны
scores: баллы
takes: берет
boston: Бостон
trying: попытка
separate: отдельно
let: давайте
claims: претензии
deal: дело
themselves: сами
jones: Джонс
rank: ранг
noted: отметил
oxford: Оксфорд
racing: гонки
plant: завод
earth: земля
feature: характеристика
categories: категории
feb: февраля
chris: Крис
encyclopedia: энциклопедия
spain: Испания
congress: конгресс
programs: программы
nov: ноября
numerous: многочисленные
loss: потери
winning: победа
bc: британская Колумбия
joe: Джо
russia: Россия
scott: Скотт
prime: премьер
goal: цель
ohio: Огайо
rules: правила
stone: камень
attempt: попытка
fort: Форт
doing: делать
plays: играет
looking: глядя
silver: серебро
pacific: Тихого океана
finally: наконец
ice: лед
effect: эффект
activities: деятельность
questions: вопросы
accounts: счетов
older: старше
hockey: хоккей
poland: Польша
dec: декабря
mostly: в основном
assembly: сборка
friends: друзья
ancient: древние
covered: крытая
episodes: эпизоды
cultural: культурные
numbers: цифры
actress: актриса
claim: претензии
oct: октября
room: номер
length: длина
executive: исполнительный
whom: кому
opinion: отзыв
comes: приходит
justice: справедливости
majority: большинство
votes: голосов
turn: поворот
jewish: еврейские
property: собственность
literature: литература
port: порт
minutes: минут
forest: лес
admin: админ
appearance: внешний вид
speedy: быстрый
inc: Инк
junior: младший
details: детали
secondary: вторичный
defeated: победил
financial: финансовые
queen: королева
income: доход
miles: миль
von: фон
alexander: Александр
hot: горячая
del: дель
asked: спросил
eg: например
michigan: Мичиган
tracks: треков
temple: храм
i'd: я бы
apr: апреля
file: файл
stations: станции
kind: вид
opening: открытие
overall: в целом
rural: сельских
complex: комплекс
flight: рейс
candidate: кандидат
format: Формат
voice: голос
youth: молодежь
nations: Объединенных Наций
meaning: смысл
lack: отсутствие
secretary: секретарь
renamed: переименовали
sense: смысл
intended: предназначен
fine: хорошо
shot: выстрел
owned: принадлежит
scotland: Шотландии
table: Таблица
met: встретились
reports: отчеты
guide: руководство
johnson: Джонсон
williams: Уильямс
box: коробка
prize: приз
mm: мм
cities: городов
pass: пройти
month: месяц
der: дер
administration: администрация
wide: широкий
bass: бас
girl: девушка
academic: Академическая
listing: листинг
elections: выборы
mi: ми
winter: зима
gallery: галерея
clearly: ясно
transport: транспорт
steve: Стив
jun: июня
else: еще
na: АН
train: поезд
except: за исключением
oppose: противопоставить
knowledge: знания
interview: интервью
republican: республиканский
des: де
bishop: епископ
weeks: недели
oil: масло
gets: получает
provides: обеспечивает
you're: ты
master: мастер
paper: бумага
olympics: олимпиада
francisco: Франциско
parties: стороны
directly: напрямую
adding: добавление
wrong: неправильно
newspaper: газета
beach: пляж
starting: начиная
male: мужчина
highest: высокий
stars: звезды
goes: идет
stories: рассказы
cause: причиной
champion: чемпион
friend: друг
genus: род
presented: представлены
allow: разрешить
georgia: Грузия
rugby: регби
greater: больше
function: функция
upper: верхние
meeting: встреча
blocked: заблокировали
gives: дает
photo: фото
caused: вызвал
victory: победы
creek: ручей
remains: остается
creation: создание
drama: драма
speed: скорость
columbia: Колумбия
rate: ставка
unknown: неизвестно
hope: надеюсь
ended: закончился
tower: башня
britain: Великобритания
spent: провел
claimed: утверждал
ft: футов
illinois: Иллинойс
memorial: Мемориал
relations: отношения
till: пока
publishing: издание
politics: политика
variety: разнообразие
face: лицо
bob: Боб
languages: языки
contract: договор
initially: изначально
super: супер
mind: ум
completely: полностью
promoted: поощрять
matches: матчи
jim: Джим
products: продукты
vs: против
larger: больше
failed: не удалось
daniel: Даниил
understand: понимаю
fight: бой
seat: место
supported: Поддерживаемые
squadron: авиаотряд
dutch: голландский
figure: рисунок
andrew: Андрей
camp: лагерь
purpose: цель
spring: весна
featuring: показывая
latin: латинский
attended: присутствовали
basic: основные
referred: упомянутые
blacklist: черного списка
corporation: корпорация
golden: золотой
inside: внутри
attention: внимание
passed: прошло
relationship: отношения
aug: августа
disambiguation: неоднозначности
parish: приход
projects: проекты
faith: вера
co: сотрудничество
dark: темный
liberal: либерал
plot: сюжет
en: Эн
looks: выглядит
simple: простой
reasons: причины
lived: жили
retired: на пенсии
direct: прямые
ran: побежал
era: эра
analysis: анализ
ie: т. е.
scored: забил
ip: ИС
individuals: лиц
sister: сестра
technical: технические
mass: масса
useful: полезным
seasons: сезоны
duke: герцог
israel: Израиль
alone: один
peace: мир
nearly: почти
hits: хиты
authority: власти
launched: запущен
border: границы
highly: высоко
administrative: административные
amount: сумма
basis: основе
forms: формы
sep: сентября
victoria: Виктория
hotel: отель
wanted: хотел
continue: продолжить
lists: списки
focus: фокус
lives: жизнь
assistant: помощник
becoming: становится
raised: подняли
leaving: оставляя
mention: упоминание
entertainment: развлечения
marine: морской
contributions: взносы
tried: пробовал
beyond: дальше
represented: представлены
surface: поверхность
product: продукт
regiment: полка
footballer: футболист
ships: корабли
boy: мальчик
job: работа
nine: девять
pm: ТЧ
mount: гора
statement: заявление
necessary: надо
asia: Азии
defense: обороны
sites: сайты
regarding: о
die: умереть
domain: домен
told: сказал
branch: филиал
write: писать
lady: леди
heavy: тяжелые
contemporary: современные
chairman: председатель
dc: постоянного тока
champions: чемпионов
opera: опера
scientific: научный
brothers: братья
cut: вырезать
register: зарегистрироваться
tony: Тони
believed: верили
asian: Азии
scottish: шотландский
ask: задать
naval: военно-морской
entered: вошел
toronto: Торонто
examples: примеры
ministry: Министерство
i'll: я
mainly: в основном
getting: получать
territory: территория
forced: заставили
kept: держали
olympic: Олимпийский
marriage: брак
letter: письмо
hold: держать
broadcast: эфир
critical: критическая
corps: корпус
dispute: спор
exist: существует
avenue: проспект
distribution: распределение
operated: управляемый
arthur: Артур
sport: спорт
wing: крыло
judge: судья
resolution: разрешение
campus: кампус
wall: стены
piano: фортепиано
turned: оказалось
edited: редактировать
ability: способность
concept: концепция
count: граф
houses: дома
emperor: император
railroad: железная дорога
metal: металл
double: двойной
girls: девочки
notice: уведомление
increase: увеличение
miss: мисс
attacks: атаки
relevant: соответствующие
poor: бедный
consider: рассмотрим
unless: если
cambridge: Кембридж
physical: физические
tree: дерево
method: способ
becomes: становится
blood: кровь
philadelphia: Филадельфия
situation: ситуация
sydney: Сидней
du: дю
drive: диск
tell: скажи
increased: увеличился
scene: сцена
influence: влияние
address: адрес
crew: экипаж
suggest: предлагаю
sign: знак
jackson: Джексон
color: цвет
moving: переезд
peak: пик
difficult: сложно
windows: окна
bus: автобус
forward: вперед
protection: защита
formerly: ранее
immediately: сразу
translation: перевод
nation: народ
answer: ответ
arms: оружия
urban: городской
subsequently: впоследствии
resources: ресурсы
maybe: возможно
discovered: обнаружен
publications: публикации
coming: идет
host: хозяин
alternative: альтернатива
types: типы
reassessed: пересмотрел
commander: командир
offered: предложили
remaining: оставшиеся
massachusetts: Массачусетс
santa: Санта
correct: правильно
root: корень
effects: эффекты
mayor: мэр
affairs: дел
couple: пару
elements: элементы
polish: польский
criteria: критерии
tag: тег
hong: Гонконг
otherwise: в противном случае
rose: роза
electric: электрический
potential: потенциал
cost: стоимость
conservative: консервативное
cricket: сверчок
giving: давая
ball: мяч
troops: войска
senate: Сенат
ontario: Онтарио
titles: названия
nom: Номинальное
serve: служить
kong: Гонконг
iran: Иран
lies: ложь
morning: утром
architecture: архитектура
clubs: клубы
quickly: быстро
taylor: Тейлор
possibly: возможно
reviews: отзывы
brian: Брайан
housing: жилье
stephen: Стивен
ad: объявление
plans: планы
religion: религия
pretty: довольно
ones: те
responsible: ответственность
boys: мальчики
conditions: условия
laws: законы
pop: поп
ago: назад
machine: машина
approach: подход
helped: помог
standards: стандарты
fiction: фантастика
berlin: Берлин
husband: муж
secret: секрет
comedy: комедия
serving: обслуживает
di: ди
studied: учился
korea: Корея
fellow: товарищи
actual: фактическое
nor: ни
environment: среды
wood: древесины
primarily: в первую очередь
wilson: Уилсон
fifth: пятый
billboard: афиша
consists: состоит
falls: падает
doctor: врач
appearances: внешность
iron: утюг
races: рас
normal: нормальный
direction: направление
infantry: пехота
trial: суд
creating: создание
medicine: медицина
latter: последний
certainly: конечно
treatment: лечение
garden: сад
trust: доверие
gas: газ
agency: агентство
industrial: промышленные
positions: позиции
parents: родители
organizations: организаций
choice: выбор
harry: Гарри
rationale: обоснование
extended: расширенный
remove: удалить
netherlands: Нидерланды
orchestra: оркестр
split: сплит
brazil: Бразилия
preceding: предыдущий
jazz: джаз
birth: рождения
specifically: конкретно
everything: все
database: базы данных
educational: образовательные
carried: нес
households: домохозяйств
thank: благодарю
sciences: наук
heritage: наследие
elizabeth: Элизабет
median: медиана
actions: действия
francis: Фрэнсис
levels: уровни
applied: применяется
advanced: расширенный
bring: принести
initial: начальная
atlantic: Атлантик
premier: премьер
logo: логотип
farm: ферма
growth: рост
composed: сочинил
males: самцы
templates: шаблоны
draw: ничья
versions: варианты
draft: проект
activity: деятельность
sales: продажи
accepted: принято
acting: обязанности
reserve: резерв
guard: охранник
minnesota: Миннесота
fighting: бои
fame: слава
cited: привел
reporting: отчетности
personnel: персонала
agreement: соглашение
widely: широко
don: Дон
argument: аргумент
context: контексте
solo: соло
revolution: революции
positive: положительные
davis: Дэвис
follow: следуйте
fish: рыбы
horse: лошадь
learning: обучение
publication: публикации
maria: Мария
produce: производим
sentence: приговор
soldiers: солдаты
check: проверить
existing: существующие
travel: путешествия
classic: классический
freedom: свобода
expanded: расширенный
smaller: меньше
impact: влияние
fox: лиса
additions: дополнения
avoid: избежать
rail: Железнодорожный
officers: офицеры
mountains: горы
settlement: поселение
store: магазин
residents: жители
females: самки
jul: июля
grant: Грант
commonly: обычно
follows: следует
estate: имущества
distance: расстояние
exchange: обмен
honor: честь
lewis: Льюис
target: цель
issued: выдан
worth: стоит
typically: обычно
facilities: объекты
operating: рабочая
pakistan: Пакистан
earl: Эрл
guy: парень
supreme: Верховный
comics: комиксы
equipment: оборудование
leaders: лидеры
communities: общин
simon: Симон
kansas: Канзас
introduction: введение
linked: связано
remain: остаются
pictures: фотографии
holy: святой
fully: полностью
economy: экономика
nearby: рядом
guidelines: руководящие принципы
safety: безопасность
he's: он
price: цена
dedicated: выделенного
memory: памяти
suggested: предложил
unique: уникальная
sweden: Швеция
letters: буквы
managed: удалось
origin: происхождения
reach: достичь
display: дисплей
fleet: флот
ben: Бен
crime: преступление
supporting: поддержка
damage: повреждения
prominent: Видное
soccer: футбол
policies: политика
easily: легко
indiana: Индиана
philosophy: философия
advance: аванс
towns: городов
anthony: Энтони
walter: Уолтер
zone: зоны
efforts: усилия
combined: комбинированный
concert: концерт
chapter: глава
leaves: листья
wars: войны
challenge: вызов
constructed: построены
effort: усилия
sat: сидел
cars: автомобили
fails: не
geography: география
wins: выигрывает
ford: Форд
bottom: дно
models: модели
drums: барабаны
join: присоединяйтесь
winners: победители
earned: заработал
message: сообщение
acquired: приобрел
grade: класс
leadership: руководство
labour: труда
murder: убийство
prison: тюрьма
showing: показывая
weight: вес
break: сломать
destroyed: уничтожили
storm: шторм
declined: отказался
build: построить
nuclear: ядерный
independence: независимость
traffic: трафик
capacity: емкость
wiki: Вики
twice: дважды
feet: ноги
labor: труда
mon: понедельник
flag: флаг
ga: Джорджия
improve: улучшить
rome: Рим
deep: глубокий
flying: полет
fixed: Исправлена
composer: композитор
colorado: Колорадо
mixed: смешанные
swedish: шведский
linear: линейный
solid: твердые
card: карта
piece: кусок
charge: заряд
sam: Сэм
continues: продолжается
serious: серьезные
founder: основатель
copies: копии
dictionary: словарь
municipal: муниципальная
agreed: договорились
mile: миля
ways: способов
alan: Алан
engineer: инженер
kevin: Кевин
convention: Конвенции
contact: контакты
serves: подают
theme: тема
revert: вернуться
representative: представитель
entirely: полностью
sunday: в воскресенье
monitor: монитор
sort: сортировать
express: экспресс
wild: дикий
offers: предложения
offer: предложение
behavior: поведение
cm: см
ocean: океан
workers: работники
copy: копия
poet: поэт
sections: разделы
formation: формирование
kg: кг
pressure: давление
unsigned: неподписанные
heard: слышал
stand: стенд
classical: классическая
environmental: окружающей среды
adam: Адам
views: вид
concerns: проблемы
allows: позволяет
pay: платить
gun: пистолет
fields: поля
definition: определение
albert: Альберт
fa: фа
everyone: все
density: плотность
tax: налог
shortly: вскоре
